payment_id,vendor_id,change_id,requested_at,scheduled_date,amount_krw,payment_status,payment_purpose,beneficiary_account_token,requested_by
PAY-2608-001,V26001,CHG-2608-001,2026-08-02 11:00:00,2026-08-11 09:00:00,4100000,지급 예정,교육용 포장재 대금,ACCT-2608-001-NEW,U601
PAY-2608-002,V26002,CHG-2608-002,2026-08-03 11:00:00,2026-08-12 09:00:00,4200000,지급 예정,교육용 유통 대금,ACCT-2608-002-NEW,U601
PAY-2608-003,V26003,CHG-2608-003,2026-08-04 11:00:00,2026-08-13 09:00:00,4300000,지급 예정,교육용 포장 대금,ACCT-2608-003-NEW,U601
PAY-2608-004,V26004,CHG-2608-004,2026-08-05 11:00:00,2026-08-14 09:00:00,4400000,지급 예정,교육용 물류 대금,ACCT-2608-004-NEW,U601
PAY-2608-005,V26005,CHG-2608-005,2026-08-06 11:00:00,2026-08-15 09:00:00,4500000,지급 예정,교육용 설비 대금,ACCT-2608-005-NEW,U601
PAY-2608-006,V26006,CHG-2608-006,2026-08-07 11:00:00,2026-08-16 09:00:00,4600000,지급 예정,교육용 자재 대금,ACCT-2608-006-NEW,U601
PAY-2608-007,V26007,CHG-2608-007,2026-08-08 11:00:00,2026-08-17 09:00:00,4700000,지급 예정,교육용 기술용역 대금,ACCT-2608-007-NEW,U601
PAY-2608-008,V26008,CHG-2608-008,2026-08-09 11:00:00,2026-08-18 09:00:00,4800000,지급 예정,교육용 서비스 대금,ACCT-2608-008-NEW,U601
PAY-2608-009,V26009,CHG-2608-009,2026-08-10 11:00:00,2026-08-19 09:00:00,4900000,지급 예정,교육용 산업재 대금,ACCT-2608-009-NEW,U601
PAY-2608-010,V26010,CHG-2608-010,2026-08-11 11:00:00,2026-08-20 09:00:00,5000000,지급 예정,교육용 임차료,ACCT-2608-010-NEW,U601
PAY-2608-011,V26011,CHG-2608-011,2026-08-12 11:00:00,2026-08-21 09:00:00,5100000,지급 예정,교육용 부품 대금,ACCT-2608-011-NEW,U601
PAY-2608-012,V26012,CHG-2608-012,2026-08-13 11:00:00,2026-08-22 09:00:00,5200000,지급 예정,교육용 운송비,ACCT-2608-012-NEW,U601
PAY-2608-013,V26013,CHG-2608-013,2026-08-14 11:00:00,2026-08-23 09:00:00,5300000,지급 예정,교육용 기획용역 대금,ACCT-2608-013-NEW,U601
PAY-2608-014,V26014,CHG-2608-014,2026-08-15 11:00:00,2026-08-24 09:00:00,5400000,지급 예정,교육용 인쇄 대금,ACCT-2608-014-NEW,U601
PAY-2608-015,V26015,CHG-2608-015,2026-08-16 11:00:00,2026-08-25 09:00:00,5500000,지급 예정,교육용 자재 대금,ACCT-2608-015-NEW,U601
PAY-2608-016,V26016,CHG-2608-016,2026-08-17 11:00:00,2026-08-26 09:00:00,5600000,지급 예정,교육용 식자재 대금,ACCT-2608-016-NEW,U601
PAY-2608-017,V26017,CHG-2608-017,2026-08-18 11:00:00,2026-08-27 09:00:00,5700000,지급 예정,교육용 공사 대금,ACCT-2608-017-NEW,U601
PAY-2608-018,V26018,CHG-2608-018,2026-08-19 11:00:00,2026-08-28 09:00:00,5800000,지급 예정,교육용 환경용역 대금,ACCT-2608-018-NEW,U601
PAY-2608-019,V26019,CHG-2608-019,2026-08-20 11:00:00,2026-08-29 09:00:00,5900000,지급 예정,교육용 시스템 대금,ACCT-2608-019-NEW,U601
PAY-2608-020,V26020,CHG-2608-020,2026-08-21 11:00:00,2026-08-30 09:00:00,6000000,지급 예정,교육용 상품 대금,ACCT-2608-020-NEW,U601
PAY-2608-021,V26021,CHG-2608-021,2026-08-22 11:00:00,2026-08-31 09:00:00,6100000,지급 예정,교육용 기공 대금,ACCT-2608-021-NEW,U601
PAY-2608-022,V26022,CHG-2608-022,2026-08-22 12:00:00,2026-08-24 09:00:00,22000000,지급 대기,교육용 기술용역 대금,ACCT-2608-022-NEW,U601
PAY-2608-023,V26023,CHG-2608-023,2026-08-23 11:00:00,2026-08-25 09:00:00,23000000,지급 대기,교육용 물류 대금,ACCT-2608-023-NEW,U601
PAY-2608-024,V26024,CHG-2608-024,2026-08-24 11:00:00,2026-08-26 09:00:00,24000000,지급 대기,교육용 상품 대금,ACCT-2608-024-NEW,U601
PAY-2608-025,V26025,CHG-2608-025,2026-08-25 11:00:00,2026-08-27 09:00:00,25000000,지급 대기,교육용 산업재 대금,ACCT-2608-025-NEW,U601
PAY-2608-026,V26026,CHG-2608-026,2026-08-26 11:00:00,2026-08-28 09:00:00,26000000,지급 대기,교육용 유통 대금,ACCT-2608-026-ERP,U601
PAY-2608-027,V26027,CHG-2608-027,2026-08-27 11:00:00,2026-08-29 09:00:00,27000000,지급 대기,교육용 설비 대금,ACCT-2608-027-ERP,U601
PAY-2608-028,V26028,CHG-2608-028,2026-08-28 12:00:00,2026-08-30 09:00:00,28000000,지급 대기,교육용 임차료,ACCT-2608-028-NEW,U601
PAY-2608-029,V26029,CHG-2608-029,2026-08-29 13:00:00,2026-08-31 09:00:00,29000000,지급 대기,교육용 기술용역 대금,ACCT-2608-029-ERP,U601
