vendor_id,vendor_name,business_registration_no_masked,vendor_status,vendor_type,bank_code,bank_name,account_holder,current_account_masked,current_account_token,last_updated_at,last_updated_by
V26001,가상한빛물산,***-**-10001,활성,일반거래처,004,국민은행,가상한빛물산,***-***-1001,ACCT-2608-001-NEW,2026-08-01 10:00:00,U401
V26002,가상새봄유통,***-**-10002,활성,일반거래처,088,신한은행,가상새봄유통,***-***-1002,ACCT-2608-002-NEW,2026-08-02 10:00:00,U401
V26003,가상다온포장,***-**-10003,활성,일반거래처,020,우리은행,가상다온포장,***-***-1003,ACCT-2608-003-NEW,2026-08-03 10:00:00,U401
V26004,가상누리물류,***-**-10004,활성,일반거래처,081,하나은행,가상누리물류,***-***-1004,ACCT-2608-004-NEW,2026-08-04 10:00:00,U401
V26005,가상라온설비,***-**-10005,활성,일반거래처,011,NH농협은행,가상라온설비,***-***-1005,ACCT-2608-005-NEW,2026-08-05 10:00:00,U401
V26006,가상해솔상사,***-**-10006,활성,일반거래처,003,IBK기업은행,가상해솔상사,***-***-1006,ACCT-2608-006-NEW,2026-08-06 10:00:00,U401
V26007,가상온결테크,***-**-10007,활성,일반거래처,004,국민은행,가상온결테크,***-***-1007,ACCT-2608-007-NEW,2026-08-07 10:00:00,U401
V26008,가상마루서비스,***-**-10008,활성,일반거래처,088,신한은행,가상마루서비스,***-***-1008,ACCT-2608-008-NEW,2026-08-08 10:00:00,U401
V26009,가상보람산업,***-**-10009,활성,일반거래처,020,우리은행,가상보람산업,***-***-1009,ACCT-2608-009-NEW,2026-08-09 10:00:00,U401
V26010,가상가온렌탈,***-**-10010,활성,일반거래처,081,하나은행,가상가온렌탈,***-***-1010,ACCT-2608-010-NEW,2026-08-10 10:00:00,U401
V26011,가상별하부품,***-**-10011,활성,일반거래처,011,NH농협은행,가상별하부품,***-***-1011,ACCT-2608-011-NEW,2026-08-11 10:00:00,U401
V26012,가상미르운송,***-**-10012,활성,일반거래처,003,IBK기업은행,가상미르운송,***-***-1012,ACCT-2608-012-NEW,2026-08-12 10:00:00,U401
V26013,가상한결기획,***-**-10013,활성,일반거래처,004,국민은행,가상한결기획,***-***-1013,ACCT-2608-013-NEW,2026-08-13 10:00:00,U401
V26014,가상소담인쇄,***-**-10014,활성,일반거래처,088,신한은행,가상소담인쇄,***-***-1014,ACCT-2608-014-NEW,2026-08-14 10:00:00,U401
V26015,가상도담자재,***-**-10015,활성,일반거래처,020,우리은행,가상도담자재,***-***-1015,ACCT-2608-015-NEW,2026-08-15 10:00:00,U401
V26016,가상아람식품,***-**-10016,활성,일반거래처,081,하나은행,가상아람식품,***-***-1016,ACCT-2608-016-NEW,2026-08-16 10:00:00,U401
V26017,가상여울건설,***-**-10017,활성,일반거래처,011,NH농협은행,가상여울건설,***-***-1017,ACCT-2608-017-NEW,2026-08-17 10:00:00,U401
V26018,가상초록환경,***-**-10018,활성,일반거래처,003,IBK기업은행,가상초록환경,***-***-1018,ACCT-2608-018-NEW,2026-08-18 10:00:00,U401
V26019,가상나래시스템,***-**-10019,활성,일반거래처,004,국민은행,가상나래시스템,***-***-1019,ACCT-2608-019-NEW,2026-08-19 10:00:00,U401
V26020,가상우리상회,***-**-10020,활성,일반거래처,088,신한은행,가상우리상회,***-***-1020,ACCT-2608-020-NEW,2026-08-20 10:00:00,U401
V26021,가상하람기공,***-**-10021,활성,일반거래처,020,우리은행,가상하람기공,***-***-1021,ACCT-2608-021-NEW,2026-08-21 10:00:00,U401
V26022,가상바른기술,***-**-10022,활성,일반거래처,081,하나은행,가상바른기술,***-***-1022,ACCT-2608-022-NEW,2026-08-22 09:30:00,U401
V26023,가상푸른물류,***-**-10023,활성,일반거래처,011,NH농협은행,가상푸른물류,***-***-1023,ACCT-2608-023-NEW,2026-08-23 10:00:00,U401
V26024,가상참빛상사,***-**-10024,활성,일반거래처,003,IBK기업은행,가상참빛상사,***-***-1024,ACCT-2608-024-NEW,2026-08-24 10:00:00,U401
V26025,가상늘봄산업,***-**-10025,활성,일반거래처,004,국민은행,가상늘봄산업,***-***-1025,ACCT-2608-025-NEW,2026-08-25 10:00:00,U401
V26026,가상한울유통,***-**-10026,활성,일반거래처,088,신한은행,가상한울유통,***-***-9026,ACCT-2608-026-ERP,2026-08-26 10:00:00,U401
V26027,가상두레설비,***-**-10027,활성,일반거래처,020,우리은행,가상두레설비,***-***-9027,ACCT-2608-027-ERP,2026-08-27 10:00:00,U401
V26028,가상미소렌탈,***-**-10028,활성,일반거래처,081,하나은행,가상미소렌탈,***-***-1028,ACCT-2608-028-NEW,2026-08-28 10:00:00,U401
V26029,가상아침테크,***-**-10029,활성,일반거래처,011,NH농협은행,가상아침테크,***-***-9029,ACCT-2608-029-ERP,2026-08-29 10:00:00,U401
