approval_id,change_id,approval_stage,decision,approved_at,approved_by,approved_account_token,approval_note
APR-2608-001,CHG-2608-001,최종 승인,승인,2026-08-01 09:30:00,U301,ACCT-2608-001-NEW,요청서와 계좌 증빙 확인
APR-2608-002,CHG-2608-002,최종 승인,승인,2026-08-02 09:30:00,U302,ACCT-2608-002-NEW,요청서와 계좌 증빙 확인
APR-2608-003,CHG-2608-003,최종 승인,승인,2026-08-03 09:30:00,U301,ACCT-2608-003-NEW,요청서와 계좌 증빙 확인
APR-2608-004,CHG-2608-004,최종 승인,승인,2026-08-04 09:30:00,U302,ACCT-2608-004-NEW,요청서와 계좌 증빙 확인
APR-2608-005,CHG-2608-005,최종 승인,승인,2026-08-05 09:30:00,U301,ACCT-2608-005-NEW,요청서와 계좌 증빙 확인
APR-2608-006,CHG-2608-006,최종 승인,승인,2026-08-06 09:30:00,U302,ACCT-2608-006-NEW,요청서와 계좌 증빙 확인
APR-2608-007,CHG-2608-007,최종 승인,승인,2026-08-07 09:30:00,U301,ACCT-2608-007-NEW,요청서와 계좌 증빙 확인
APR-2608-008,CHG-2608-008,최종 승인,승인,2026-08-08 09:30:00,U302,ACCT-2608-008-NEW,요청서와 계좌 증빙 확인
APR-2608-009,CHG-2608-009,최종 승인,승인,2026-08-09 09:30:00,U301,ACCT-2608-009-NEW,요청서와 계좌 증빙 확인
APR-2608-010,CHG-2608-010,최종 승인,승인,2026-08-10 09:30:00,U302,ACCT-2608-010-NEW,요청서와 계좌 증빙 확인
APR-2608-011,CHG-2608-011,최종 승인,승인,2026-08-11 09:30:00,U301,ACCT-2608-011-NEW,요청서와 계좌 증빙 확인
APR-2608-012,CHG-2608-012,최종 승인,승인,2026-08-12 09:30:00,U302,ACCT-2608-012-NEW,요청서와 계좌 증빙 확인
APR-2608-013,CHG-2608-013,최종 승인,승인,2026-08-13 09:30:00,U301,ACCT-2608-013-NEW,요청서와 계좌 증빙 확인
APR-2608-014,CHG-2608-014,최종 승인,승인,2026-08-14 09:30:00,U302,ACCT-2608-014-NEW,요청서와 계좌 증빙 확인
APR-2608-015,CHG-2608-015,최종 승인,승인,2026-08-15 09:30:00,U301,ACCT-2608-015-NEW,요청서와 계좌 증빙 확인
APR-2608-016,CHG-2608-016,최종 승인,승인,2026-08-16 09:30:00,U302,ACCT-2608-016-NEW,요청서와 계좌 증빙 확인
APR-2608-017,CHG-2608-017,최종 승인,승인,2026-08-17 09:30:00,U301,ACCT-2608-017-NEW,요청서와 계좌 증빙 확인
APR-2608-018,CHG-2608-018,최종 승인,승인,2026-08-18 09:30:00,U302,ACCT-2608-018-NEW,요청서와 계좌 증빙 확인
APR-2608-019,CHG-2608-019,최종 승인,승인,2026-08-19 09:30:00,U301,ACCT-2608-019-NEW,요청서와 계좌 증빙 확인
APR-2608-020,CHG-2608-020,최종 승인,승인,2026-08-20 09:30:00,U302,ACCT-2608-020-NEW,요청서와 계좌 증빙 확인
APR-2608-021,CHG-2608-021,최종 승인,승인,2026-08-21 09:30:00,U301,ACCT-2608-021-NEW,요청서와 계좌 증빙 확인
APR-2608-022,CHG-2608-022,최종 승인,승인,2026-08-22 11:00:00,U302,ACCT-2608-022-NEW,ERP 반영 후 사후 승인
APR-2608-024,CHG-2608-024,최종 승인,승인,2026-08-24 09:30:00,U201,ACCT-2608-024-NEW,요청자가 직접 승인한 교육용 사례
APR-2608-025,CHG-2608-025,최종 승인,승인,2026-08-25 09:30:00,U202,ACCT-2608-025-NEW,요청자가 직접 승인한 교육용 사례
APR-2608-026,CHG-2608-026,최종 승인,승인,2026-08-26 09:30:00,U301,ACCT-2608-026-NEW,승인 계좌와 ERP 반영 계좌 불일치
APR-2608-027,CHG-2608-027,최종 승인,승인,2026-08-27 09:30:00,U302,ACCT-2608-027-NEW,승인 계좌와 ERP 반영 계좌 불일치
APR-2608-028,CHG-2608-028,최종 승인,승인,2026-08-28 11:00:00,U202,ACCT-2608-028-NEW,ERP 반영 후 요청자가 직접 승인
APR-2608-029,CHG-2608-029,최종 승인,승인,2026-08-29 12:00:00,U301,ACCT-2608-029-NEW,ERP 반영 후 승인했고 계좌도 불일치
