change_id,case_id,vendor_id,request_id,requested_at,requested_by,before_account_token,requested_account_token,changed_at,changed_by,change_reason
CHG-2608-001,CASE-2608-001,V26001,REQ-2608-001,2026-08-01 08:30:00,U201,ACCT-2608-001-OLD,ACCT-2608-001-NEW,2026-08-01 10:00:00,U401,거래처 요청에 따른 주거래 계좌 변경
CHG-2608-002,CASE-2608-002,V26002,REQ-2608-002,2026-08-02 08:30:00,U202,ACCT-2608-002-OLD,ACCT-2608-002-NEW,2026-08-02 10:00:00,U401,은행 변경에 따른 지급 계좌 변경
CHG-2608-003,CASE-2608-003,V26003,REQ-2608-003,2026-08-03 08:30:00,U203,ACCT-2608-003-OLD,ACCT-2608-003-NEW,2026-08-03 10:00:00,U401,거래처 요청에 따른 주거래 계좌 변경
CHG-2608-004,CASE-2608-004,V26004,REQ-2608-004,2026-08-04 08:30:00,U201,ACCT-2608-004-OLD,ACCT-2608-004-NEW,2026-08-04 10:00:00,U401,은행 변경에 따른 지급 계좌 변경
CHG-2608-005,CASE-2608-005,V26005,REQ-2608-005,2026-08-05 08:30:00,U202,ACCT-2608-005-OLD,ACCT-2608-005-NEW,2026-08-05 10:00:00,U401,거래처 요청에 따른 주거래 계좌 변경
CHG-2608-006,CASE-2608-006,V26006,REQ-2608-006,2026-08-06 08:30:00,U203,ACCT-2608-006-OLD,ACCT-2608-006-NEW,2026-08-06 10:00:00,U401,은행 변경에 따른 지급 계좌 변경
CHG-2608-007,CASE-2608-007,V26007,REQ-2608-007,2026-08-07 08:30:00,U201,ACCT-2608-007-OLD,ACCT-2608-007-NEW,2026-08-07 10:00:00,U401,거래처 요청에 따른 주거래 계좌 변경
CHG-2608-008,CASE-2608-008,V26008,REQ-2608-008,2026-08-08 08:30:00,U202,ACCT-2608-008-OLD,ACCT-2608-008-NEW,2026-08-08 10:00:00,U401,은행 변경에 따른 지급 계좌 변경
CHG-2608-009,CASE-2608-009,V26009,REQ-2608-009,2026-08-09 08:30:00,U203,ACCT-2608-009-OLD,ACCT-2608-009-NEW,2026-08-09 10:00:00,U401,거래처 요청에 따른 주거래 계좌 변경
CHG-2608-010,CASE-2608-010,V26010,REQ-2608-010,2026-08-10 08:30:00,U201,ACCT-2608-010-OLD,ACCT-2608-010-NEW,2026-08-10 10:00:00,U401,은행 변경에 따른 지급 계좌 변경
CHG-2608-011,CASE-2608-011,V26011,REQ-2608-011,2026-08-11 08:30:00,U202,ACCT-2608-011-OLD,ACCT-2608-011-NEW,2026-08-11 10:00:00,U401,거래처 요청에 따른 주거래 계좌 변경
CHG-2608-012,CASE-2608-012,V26012,REQ-2608-012,2026-08-12 08:30:00,U203,ACCT-2608-012-OLD,ACCT-2608-012-NEW,2026-08-12 10:00:00,U401,은행 변경에 따른 지급 계좌 변경
CHG-2608-013,CASE-2608-013,V26013,REQ-2608-013,2026-08-13 08:30:00,U201,ACCT-2608-013-OLD,ACCT-2608-013-NEW,2026-08-13 10:00:00,U401,거래처 요청에 따른 주거래 계좌 변경
CHG-2608-014,CASE-2608-014,V26014,REQ-2608-014,2026-08-14 08:30:00,U202,ACCT-2608-014-OLD,ACCT-2608-014-NEW,2026-08-14 10:00:00,U401,은행 변경에 따른 지급 계좌 변경
CHG-2608-015,CASE-2608-015,V26015,REQ-2608-015,2026-08-15 08:30:00,U203,ACCT-2608-015-OLD,ACCT-2608-015-NEW,2026-08-15 10:00:00,U401,거래처 요청에 따른 주거래 계좌 변경
CHG-2608-016,CASE-2608-016,V26016,REQ-2608-016,2026-08-16 08:30:00,U201,ACCT-2608-016-OLD,ACCT-2608-016-NEW,2026-08-16 10:00:00,U401,은행 변경에 따른 지급 계좌 변경
CHG-2608-017,CASE-2608-017,V26017,REQ-2608-017,2026-08-17 08:30:00,U202,ACCT-2608-017-OLD,ACCT-2608-017-NEW,2026-08-17 10:00:00,U401,거래처 요청에 따른 주거래 계좌 변경
